,phrase,label,sentiment,subjectivity,language,count
Portuguese,Portuguese,NORP,,,en,8
afternoon,afternoon,TIME,,,en,8
May 8,May 8,DATE,,,en,7
June 11,June 11,DATE,,,en,7
Afghan,Afghan,NORP,,,en,7
2%,2%,PERCENT,,,en,7
Dozens,Dozens,CARDINAL,,,en,7
just days,just days,DATE,,,en,7
32,32,CARDINAL,,,en,7
March 30,March 30,DATE,,,en,7
Nine,Nine,CARDINAL,,,en,7
Six,Six,CARDINAL,,,en,7
eight years,eight years,DATE,,,en,7
a year,a year,DATE,,,en,7
at least one,at least one,CARDINAL,,,en,7
February 28,February 28,DATE,,,en,7
March 26,March 26,DATE,,,en,7
later this year,later this year,DATE,,,en,7
Democratic,Democratic,NORP,,,en,7
Qatari,Qatari,NORP,,,en,7
Belarusian,Belarusian,NORP,,,en,7
2028,2028,DATE,,,en,7
one year,one year,DATE,,,en,7
overnight,overnight,TIME,,,en,7
Seven,Seven,CARDINAL,,,en,7
14,14,CARDINAL,,,en,7
May 14,May 14,DATE,,,en,7
fifth,fifth,ORDINAL,,,en,6
a week,a week,DATE,,,en,6
80%,80%,PERCENT,,,en,6
Palestinians,Palestinians,NORP,,,en,6
seventh,seventh,ORDINAL,,,en,6
Saudi,Saudi,NORP,,,en,6
millions,millions,CARDINAL,,,en,6
three days,three days,DATE,,,en,6
100,100,CARDINAL,,,en,6
April 15,April 15,DATE,,,en,6
Pakistans,Pakistans,NORP,,,en,6
April 1,April 1,DATE,,,en,6
Japanese,Japanese,NORP,,,en,6
2011,2011,DATE,,,en,6
last month,last month,DATE,,,en,6
"Monday, 23 March 2026","Monday, 23 March 2026",DATE,,,en,6
the year,the year,DATE,,,en,6
four-day,four-day,DATE,,,en,6
April 13,April 13,DATE,,,en,6
Easter,Easter,WORK_OF_ART,0.05952380952380953,0.1869047619047619,en,6
Indias,Indias,NORP,,,en,6
Serbian,Serbian,NORP,,,en,6
Bhutanese,Bhutanese,NORP,,,en,6
North African,North African,NORP,,,en,6
May 5,May 5,DATE,,,en,6
Middle Eastern,Middle Eastern,NORP,-0.012500000000000002,0.19166666666666665,en,6
Last week,Last week,DATE,,,en,6
19,19,DATE,,,en,6
1962,1962,DATE,,,en,6
week,week,DATE,,,en,6
10th,10th,ORDINAL,,,en,6
June 14,June 14,DATE,,,en,6
tens of thousands,tens of thousands,CARDINAL,,,en,6
Europeans,Europeans,NORP,,,en,6
