week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-17,-0.026298305984828164,0.9851122793690777,0.09482328033586641,0.9808869839716394,281.0
2026-18,0.026258873884357527,0.8698582680279054,,1.0,203.0
2026-19,0.06760841244690721,0.9586797527294759,0.0534246882055972,0.9527702598369178,194.0
2026-20,0.07361044613343068,0.9286028666533546,0.04195035449076604,0.9164551353422,257.0
2026-21,-0.05678395207788538,0.865205263130474,0.035414157721642435,0.9404252338662713,165.0
2026-22,-0.11335843711516914,0.9711429360482176,0.1041613228334794,0.9828726966072661,264.0
2026-23,0.1490040875275173,0.9254592097758331,-0.014259408383377676,0.9645452526244844,231.0
2026-24,0.1267231373162065,0.8723020911511336,0.034754085419207034,0.9213072730413915,245.0
2026-25,0.05380243251079161,0.9377842832824609,0.06061480282775696,0.9393982785824758,302.0
2026-26,-0.16539262735195273,0.8845339199049798,-0.007390941985658812,0.9502401938615029,203.0
2026-27,-0.06759958656915356,1.0295535008684542,0.04256235782784135,0.9423429285801497,233.0
2026-28,-0.06098150182532812,0.9054164572337027,-0.21630859531786165,0.8883166332018976,137.0
2026-29,0.048297873204698076,0.9636738013079541,-0.16741541621899775,0.9166040407815621,180.0
