topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Afghanistan,0.09854409843171794,1.4099934032664712,0.23596917673321366,0.8698753734049947,9.0
Albania,0.19327044067250676,0.8201514817751849,0.21038160587820176,0.9133895847252059,6.0
Angola,0.07665999352177415,0.940280455516347,-0.14781237686734755,0.8618550631931219,20.0
Armenia,-0.3034022952253131,1.0,-0.7417785709024801,1.0,1.0
Aruba,0.3015784845704777,0.19079412260397893,-0.35372449668869393,0.7673712090089991,2.0
Australia,-0.274849381905628,0.7401193884908552,-0.5811584458545338,0.8541993319417326,13.0
Austria,-0.36915740317078116,1.0,-1.2991152816795137,1.0,1.0
Azerbaijan,0.21969135777022647,0.3106904976948141,-0.46298889710640184,0.6547651775160349,2.0
Bahamas,0.7071067811865475,1.0,0.7071067811865477,1.0,1.0
Bahrain,-0.1341169239018813,0.6456917492928591,0.23648164473234218,0.9009535350884504,21.0
Bangladesh,0.22717267498206545,0.7562391380145566,0.03752034978601483,1.1563710108702177,16.0
Barbados,-0.19075385516005036,0.849476663775649,-0.49417667690136863,0.7567515088756374,3.0
Belarus,0.5096909581850737,1.0,0.07903287769738278,1.0,1.0
Belgium,-0.37218267714922526,0.6750535865053628,-0.5048143057905798,0.6987000392746654,4.0
Bermuda,-0.42668643843009924,1.0,-2.1961905878933026,1.0,1.0
Bhutan,0.13919686446345525,1.0,-0.8975501242964797,1.0,1.0
Bolivia,0.2054012149567294,0.669918420436372,0.18033767948823623,0.6145516840871258,7.0
Bosnia and Herzegovina,0.32709756743618096,0.7241429915525462,-0.01337371517469857,0.8158755458733092,8.0
British Indian Ocean Territory,-0.2747488616754184,0.5759928759475087,0.1906573244345181,0.4027189024451384,4.0
British Virgin Islands,-0.1222457176612151,0.9470837200291182,-0.16062317733414652,0.5675337394679276,6.0
Bulgaria,0.9988305027869175,1.0,0.13375600042633867,1.0,1.0
Burkina Faso,0.00040420209757741077,0.6628489433330672,-0.43277494075464684,0.7777783408625215,2.0
Cameroon,-0.21451999197222066,0.8481380826993498,-0.2122729636862107,1.108960204592936,10.0
Canada,0.2840811098659893,1.2290431361264014,0.4023868597534915,0.8547877054279989,18.0
Cayman Islands,-0.25419934663894606,1.0,1.0691225590719853,1.0,1.0
China,0.16479743984286765,0.761962681933515,-0.12160186964742097,0.9200677399443395,58.0
Cocos Islands,0.45713652203970867,0.9878545348678666,0.23072356616924902,0.4810747462282116,4.0
Colombia,2.2085630070797926,0.9996684561313784,0.7565469830460279,1.9033253929073772,2.0
Comoros,0.02520641812023845,1.2236733014374492,0.03152090369035855,0.713036286580765,5.0
