keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Afghanistan',0.4683434376492616,0.3376623586279763,0.6629354639427743,0.06246767591402879,2.0
'Albania',-1.2951871221722633,1.2492955855982024,1.4606660081557739,1.3581453021322698,2.0
'Algiers',0.03205848710711524,1.0,-0.8309860825644892,1.0,1.0
'Ankara',0.4283172452389535,0.7227800126138662,-0.09689542020983352,1.1343576202031673,9.0
'Arctic',0.10066555558999926,0.700693643783611,0.6386581408726768,0.7743247378235583,7.0
'Argentina',0.26713347011457,1.095152854243751,0.5985430216312749,0.5822262207555486,7.0
'Armenia',0.06924316035249059,0.7286242926971122,-0.5680013199882529,0.8028405721593582,2.0
'Asia',0.513078418654732,0.23424639333128172,-0.08918723769252943,0.6628212242921726,2.0
'Australia',0.4780770029299418,0.9122120310301626,0.0603242912630146,0.9878955677115655,10.0
'Azerbaijan',-0.42718323101749395,1.0,-1.183342132241091,1.0,1.0
'BEIJING',0.03887228138173297,0.8127747433546336,-0.1367225511997453,0.7373133366071214,37.0
'Baghdad',0.18227428426317785,1.0,-1.0718179968031067,1.0,1.0
'Bahamas',0.2545454545454545,1.0,0.5018181818181818,1.0,1.0
'Baku',-0.09401100946999717,1.0,-0.25298010612412397,1.0,1.0
'Beijing',0.3952001117630484,1.0489731407955487,0.1673526320118178,0.9962621785967001,19.0
'Beirut',0.06479290175057321,1.0,-1.6246401884626207,1.0,1.0
'Belarus',-0.12361527946494597,1.7582145285647994,0.32305047517459,0.3701603855147543,5.0
'Belgium',0.3258324906422719,0.28349469352731077,0.32818577472730515,0.33175632284680656,4.0
'Berlin',-0.20698026550535092,0.4676637466624481,-0.005071282118921838,0.8262027211467652,10.0
'Bermuda',0.3509438003135363,0.757759534413918,0.8706309349065917,0.3840982477100047,2.0
'Bhutan',0.022019598271136306,0.9530656885523348,0.41059667591151616,0.841959937289001,10.0
'Bosnia and Herzegovina',-0.3619975988841144,1.2508511642273747,-0.16042975391766634,0.3219596534439465,6.0
'Brazil',-0.0734863865228464,0.9334907744190168,-0.703755605332686,0.8791090759937765,6.0
'Brazzaville',0.35123903770783976,0.6431346353590859,-0.8013978658509715,1.21986494686315,4.0
'Britain',-0.1496118117849429,0.937695913600479,0.13532588266201412,0.9294770438048883,33.0
'Brussels',0.5415236379282331,0.45844026879776534,0.5139647559301193,1.375705697250221,4.0
'Bucharest',-1.4688552595049438,1.0,0.3609566364023208,1.0,1.0
'Bulgaria',-0.047060298764223095,1.4200701708354893,0.5649512534834346,0.21587073702822704,3.0
'Cairo',0.3720000637672449,0.7875375877630537,-0.48900878830266314,1.3931177939131243,2.0
'Cambodia',0.6780763969254954,0.8658323030367723,0.028530470400644454,1.5671665561260881,6.0
'Canada',0.25951548767699045,0.8242317874790478,0.651167913332715,1.0294742126995853,10.0
'Chicago',-0.4252776315726622,0.3985666056560329,0.09786242294694886,1.138398365778267,2.0
'China',0.0391391534874248,0.9480882729845374,0.08991128075749841,0.9427796290185955,185.0
'Crimea',-0.6035923236933147,0.39764764743286257,0.18034232346831267,1.318273355506653,5.0
'Cuba',0.4800543582286163,0.6853580152283364,-0.049443347459512156,0.6834245653321906,9.0
'DRC',-0.35793563701552067,0.645921804859204,-0.6105186836187704,0.30682948412280936,3.0
'DUBAI',0.014971459749317385,0.39190593568728727,-0.16293035837339206,0.7845615093060643,8.0
'Dakar',0.39999999999999997,1.0,0.47500000000000003,1.0,1.0
'Denmark',-0.0975877308243254,0.10265455339364854,0.33107056764168896,0.282588956799967,2.0
'Donbass',0.081470904639443,0.7995986525337705,-0.20765834153083992,0.756327952738051,17.0
'Dubai',0.7125562015250918,0.3833948157690912,-0.15670726167447957,1.1335191942968554,2.0
'Dublin',-0.7094184248338802,0.221375589220952,-0.6938284624246374,0.31941692305596875,2.0
'Ecuador',1.1492656723072094,0.07232716404470849,-0.19397303207587702,0.5776804395591602,3.0
'Egypt',0.9623470588987049,0.5503833540429489,0.6920292023821533,0.35401455720783354,2.0
'England',0.11908987114251399,0.823331126558272,0.04057590879877388,0.810408688501078,20.0
'Equatorial Guinea',0.40642859487079314,1.0523424090236624,0.06667016176808488,0.9608428022932278,3.0
'Finland',-0.7071067811865476,0.0,-3.885780586188048e-16,0.9999999999999994,2.0
'France',0.005120707928344542,1.215524772835946,0.470013054377112,1.1957442812723393,18.0
'Gaza',-0.1570273017791116,0.6898131254955345,-0.3883239325866592,1.012145172990144,7.0
'Georgia',0.0625,1.0,0.5,1.0,1.0
'Germany',-0.14997032632181695,0.8582332299952028,0.06912232210363937,0.8444771116766463,20.0
'Ghana',-0.35140095323879217,0.1344691878649878,-0.376066616000778,1.7846674358032477,2.0
'Greece',-0.20126752765099173,0.8968675241176391,-0.6821278611650728,0.4098913432468684,2.0
'Grenada',-0.6123227196414385,1.0,0.31309460402076267,1.0,1.0
'Guatemala',1.1499323120707245,1.0,1.0368266815369294,1.0,1.0
'Haiti',1.3994446104296372,1.0,1.0727611854759957,1.0,1.0
'Hanoi',0.40810096402375884,1.0,-0.32284773235194353,1.0,1.0
'Havana',-1.0128920007639837,1.4290453419035651,0.3440264383330066,1.1356519674066574,7.0
'Heard Island and McDonald Islands',-0.07499999999999998,1.0,0.4392857142857143,1.0,1.0
'Heard Island',-2.969186112244336,2.560603506260511,2.142632147924002,1.2357968414829015,2.0
'Hollywood',0.5827648091651579,1.145768617602658,0.16398235303710892,0.9081962069401885,11.0
'Hong Kong',-0.5064789764482159,1.0615770847046417,-0.36142240291803657,0.6360307999154773,3.0
'Honiara',-0.8743001569259635,1.0,0.1698184984350829,1.0,1.0
'Hungary',0.11617777509373463,1.0,-0.12608409250562752,1.0,1.0
'ISTANBUL',0.015503020043368315,0.9620577754032756,0.03201311186166762,0.8304547759928657,24.0
'Iceland',1.8496279821855688,1.0,1.1834555845669124,1.0,1.0
'India',0.17908173785355222,0.7468013029055396,0.09543469123268247,0.9371482121554008,33.0
'Indonesia',0.11566351241517203,0.958679400952955,0.12534674030526413,0.11837982061493461,2.0
'Iran',-0.006900444235938606,0.988436599069786,0.10174162228662528,0.9166611554020334,239.0
'Iraq',0.18061409743542634,1.0051736783314527,-0.2602649407283924,0.782587869684037,4.0
'Ireland',0.17166002698800858,1.1332449494015921,-0.506408578218769,0.9836382975018422,5.0
'Israel',-0.1532889252191141,1.0458607100460227,-0.04381992169337579,0.9613159398911753,62.0
'Istanbul',0.22803376681945062,0.842692471313214,0.29294935009195977,0.9206112955212298,34.0
'Italy',0.026313814682333313,0.9359041817823742,-0.34757098958380583,0.5033242723340277,10.0
'Ivory Coast',0.6109358178215246,0.9439905860623534,-0.31867354260666353,1.3787178627254337,3.0
'Jamaica',-0.12405186851300938,0.6828821098902522,0.31982323727714823,1.2649279592140614,11.0
'Japan',-0.3680102401813372,1.396442689789358,-0.24155719159223887,0.8361763595314649,11.0
'Jerusalem',-0.4459720179508892,1.0,-0.0003073072026829409,1.0,1.0
'Jordan',-1.0017887350321972,1.0,-1.048290180386193,1.0,1.0
'Kazakhstan',0.2508249988042727,1.2241259319511486,0.15353330080948333,1.2383235052882982,3.0
'Kenya',-1.0259481494597977,1.2667451765667845,0.5154993667711418,0.2254327929711712,2.0
'Kiev',-0.1065933152332324,0.9799248854269978,0.16524831951849628,1.0634283821102444,74.0
'Kuwait',0.3748131687708122,0.21952290741067337,0.8731760465846886,0.17074822706695217,2.0
'Kyiv',-0.08401291994678299,0.5757656760935365,-0.22054814669424483,0.7343658327919632,29.0
'LONDON',0.2565897392776093,1.066903454038519,0.19657320088288738,1.2318156243089013,16.0
'Latvia',-0.6437109957726111,0.4411147365522383,-0.5463523032036552,1.4586937759424843,2.0
'Lebanon',-0.05849975113096235,1.4691817853247089,-0.21347419709213886,0.8611104295623639,11.0
'Lithuania',-0.02610255391134928,1.102925338894566,-0.23018966857189946,0.8012938969879454,15.0
'London',0.3144453345065277,0.925237012363737,-0.19410386718194528,1.0574857200735739,8.0
'Los Angeles',0.010118709990858996,0.8666820260386966,0.06280330203411999,0.9719379129614085,19.0
'Lusaka',-0.05357525645386114,0.6572193389299402,0.06845211739218043,0.6207451282659843,6.0
'MOSCOW',-0.1430734789494779,0.8106874412892685,-0.14472385971907478,0.8532873485190758,120.0
'Maldives',0.01198692788731507,0.16991407952281679,0.9868580493631578,0.48334213489077876,2.0
