,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
PARIS,PARIS,GPE,0.11953125,0.17743055555555556,en,4,,,,,,,,,,
Sloviansk,Sloviansk,GPE,-0.052500000000000005,0.125,en,4,,,,,,,,,,
Siberia,Siberia,LOC,-0.05520833333333333,0.20833333333333331,en,4,,,,,,,,,,
Konstantinovka,Konstantinovka,GPE,0.011249999999999996,0.23047619047619047,en,4,,,,,,,,,,
Kolkata,Kolkata,GPE,0.03125,0.03125,en,4,,,,,,,,,,
Liverpool,Liverpool,GPE,0.07916666666666666,0.22083333333333333,en,4,,,,,,,,,,
Silicon Valley,Silicon Valley,LOC,-0.05,0.19999999999999998,en,4,,,,,,,,,,
Gazprom,Gazprom,GPE,0.02916666666666667,0.1375,en,4,,,,,,,,,,
SINGAPORE,SINGAPORE,GPE,0.0875,0.26666666666666666,en,4,,,,,,,,,,
Manchester City,Manchester City,GPE,0.0875,0.1125,en,4,,,,,,,,,,
the Roman Empire,the Roman Empire,GPE,0.08333333333333333,0.4,en,4,,,,,,,,,,
Texas,Texas,GPE,0.3225,0.47208333333333335,en,4,,,,,,,,,,
SHANGHAI,SHANGHAI,GPE,0.10795454545454546,0.16818181818181818,en,4,,,,,,,,,,
KYIV,KYIV,GPE,0.07569444444444445,0.28194444444444444,en,4,,,,,,,,,,
Seattle,Seattle,GPE,0.05271464646464646,0.3666666666666667,en,3,,,,,,,,,,
Lviv,Lviv,GPE,0.02277777777777777,0.6377777777777777,en,3,,,,,,,,,,
Liaoning,Liaoning,GPE,0.13333333333333333,0.13333333333333333,en,3,,,,,,,,,,
Stuttgart,Stuttgart,GPE,0.042328042328042326,0.0902116402116402,en,3,,,,,,,,,,
Novorossiysk,Novorossiysk,GPE,-0.04074074074074075,0.36481481481481487,en,3,,,,,,,,,,
Shenzhen,Shenzhen,GPE,0.13333333333333333,0.25555555555555554,en,3,,,,,,,,,,
Magyar,Magyar,GPE,0.0,0.0,en,3,,,,,,,,,,
Europes,Europes,LOC,0.24444444444444444,0.3074074074074074,en,3,,,,,,,,,,
Basel,Basel,GPE,0.0,0.0,en,3,,,,,,,,,,
Hague,Hague,GPE,0.2333333333333333,0.3666666666666667,en,3,,,,,,,,,,
San Francisco Bay Area Stadium,San Francisco Bay Area Stadium,LOC,-0.06666666666666667,0.3,en,3,,,,,,,,,,
RUSSIA,RUSSIA,GPE,0.0375,0.15277777777777776,en,3,,,,,,,,,,
Yaroslavl,Yaroslavl,GPE,-0.022222222222222223,0.06666666666666667,en,3,,,,,,,,,,
TOLUCA,TOLUCA,GPE,-0.062222222222222234,0.6422222222222222,en,3,,,,,,,,,,
Sussex,Sussex,GPE,0.13333333333333333,0.3333333333333333,en,3,,,,,,,,,,
CT,CT,GPE,-0.19444444444444445,0.5138888888888888,en,3,,,,,,,,,,
Philadelphia,Philadelphia,GPE,0.04141414141414141,0.32592592592592595,en,3,,,,,,,,,,
São Paulo,São Paulo,GPE,0.08040404040404041,0.27171717171717175,en,3,,,,,,,,,,
Frankfurt,Frankfurt,GPE,0.042328042328042326,0.0902116402116402,en,3,,,,,,,,,,
TORONTO,TORONTO,GPE,0.042328042328042326,0.0902116402116402,en,3,,,,,,,,,,
Saint Petersburg,Saint Petersburg,GPE,0.13333333333333333,0.23333333333333336,en,3,,,,,,,,,,
Transylvania,Transylvania,GPE,0.0976190476190476,0.1771825396825397,en,3,,,,,,,,,,
HONG KONG,HONG KONG,GPE,0.06349206349206347,0.2378306878306878,en,3,,,,,,,,,,
Bengbu,Bengbu,GPE,0.21428571428571427,0.6428571428571429,en,3,,,,,,,,,,
Vancouver,Vancouver,GPE,0.5,0.43333333333333335,en,3,,,,,,,,,,
YEREVAN,YEREVAN,GPE,0.08333333333333333,0.26666666666666666,en,3,,,,,,,,,,
